parent_page,child_page,grandchild_page,great_grandchild_page,content_file,page_path,content,is_link,link_type,link_title
community_resources,,,,.DS_Store,/Users/ligealocal/Desktop/J-Notebooks/PathwayPal ChatBot/scraped_data/community_resources/.DS_Store,nan,False,,
community_resources,,,,page_content.txt,/Users/ligealocal/Desktop/J-Notebooks/PathwayPal ChatBot/scraped_data/community_resources/page_content.txt,"COMMUNITY RESOURCES
Please explore this page by clicking the buttons below or click the drop-down arrow next to ""Community Resources"" then click on any page.
Finding Resources in Your Community
Getting Your Record Expunged
Mental & Physical Wellness
Home
Virtual Training Calendar
Digital Skills
TJ Work Crews
Advanced Training & Education
Job Readiness
Money Management
Community Resources
Workplace Rights & Benefits
Entrepreneurship
More
HomeVirtual Training CalendarDigital SkillsTJ Work CrewsAdvanced Training & EducationJob ReadinessMoney ManagementCommunity ResourcesWorkplace Rights & BenefitsEntrepreneurship",False,,
community_resources,mental-physical-wellness,,,iframe_link_0.txt,/Users/ligealocal/Desktop/J-Notebooks/PathwayPal ChatBot/scraped_data/community_resources/mental-physical-wellness/iframe_link_0.txt,https://www.gstatic.com/atari/embeds/83a60601c213b72fb19c1855fb0c5f26/intermediate-frame-minified.html?jsh=m%3B%2F_%2Fscs%2Fabc-static%2F_%2Fjs%2Fk%3Dgapi.lb.en._ShUtMH1OvQ.O%2Fam%3DAABA%2Fd%3D1%2Frs%3DAHpOoo9sEd_Wjj_xEtgO8qX69P7hAZI9cg%2Fm%3D__features__&r=499634709,True,Other Link,
community_resources,mental-physical-wellness,,,iframe_link_1.txt,/Users/ligealocal/Desktop/J-Notebooks/PathwayPal ChatBot/scraped_data/community_resources/mental-physical-wellness/iframe_link_1.txt,https://www.gstatic.com/atari/embeds/83a60601c213b72fb19c1855fb0c5f26/intermediate-frame-minified.html?jsh=m%3B%2F_%2Fscs%2Fabc-static%2F_%2Fjs%2Fk%3Dgapi.lb.en._ShUtMH1OvQ.O%2Fam%3DAABA%2Fd%3D1%2Frs%3DAHpOoo9sEd_Wjj_xEtgO8qX69P7hAZI9cg%2Fm%3D__features__&r=637396489,True,Other Link,
community_resources,mental-physical-wellness,,,iframe_link_3.txt,/Users/ligealocal/Desktop/J-Notebooks/PathwayPal ChatBot/scraped_data/community_resources/mental-physical-wellness/iframe_link_3.txt,https://drive.google.com/auth_warmup,True,Other Link,
community_resources,mental-physical-wellness,,,iframe_link_2.txt,/Users/ligealocal/Desktop/J-Notebooks/PathwayPal ChatBot/scraped_data/community_resources/mental-physical-wellness/iframe_link_2.txt,https://www.gstatic.com/atari/embeds/83a60601c213b72fb19c1855fb0c5f26/intermediate-frame-minified.html?jsh=m%3B%2F_%2Fscs%2Fabc-static%2F_%2Fjs%2Fk%3Dgapi.lb.en._ShUtMH1OvQ.O%2Fam%3DAABA%2Fd%3D1%2Frs%3DAHpOoo9sEd_Wjj_xEtgO8qX69P7hAZI9cg%2Fm%3D__features__&r=221877204,True,Other Link,
community_resources,mental-physical-wellness,,,page_content.txt,/Users/ligealocal/Desktop/J-Notebooks/PathwayPal ChatBot/scraped_data/community_resources/mental-physical-wellness/page_content.txt,"MENTAL & PHYSICAL WELLNESS
CALL OR TEXT 988: HELP IS AVAILABLE
Coming home from incarceration can be a challenging time for anyone. If you or someone you know is struggling or in crisis, there is help. Call or text 988 for free, fast, and confidential support.
AA & NA MEETINGS NEAR YOU
Click on the images below then enter your zip code to search for AA and NA meetings near you.
You can also find an AA meeting by calling 1-866-920-0628.
THE PHOENIX
Want to join a community that stays sober and fit together? You can join The Phoenix for free with 48 hours of sobriety!
The Phoenix's mission is to build a sober active community that uses the power of connection to recover together. They host fitness and social events, such as CrossFit, yoga, and meditation, in 44 states.
To download the Phoenix app, click this link then click ""Download on the App Store"" if you're using an iPhone or click ""Get it on Google Play"" if you're using an Android.
Home
Virtual Training Calendar
Digital Skills
TJ Work Crews
Advanced Training & Education
Job Readiness
Money Management
Community Resources
Workplace Rights & Benefits
Entrepreneurship
More
HomeVirtual Training CalendarDigital SkillsTJ Work CrewsAdvanced Training & EducationJob ReadinessMoney ManagementCommunity ResourcesWorkplace Rights & BenefitsEntrepreneurship",False,,
community_resources,nyc_supportive_servies,,,.DS_Store,/Users/ligealocal/Desktop/J-Notebooks/PathwayPal ChatBot/scraped_data/community_resources/nyc_supportive_servies/.DS_Store,nan,False,,
community_resources,nyc_supportive_servies,,,page_content.txt,/Users/ligealocal/Desktop/J-Notebooks/PathwayPal ChatBot/scraped_data/community_resources/nyc_supportive_servies/page_content.txt,"Click here for our Covid-19 resource guide - info about federal stimulus payments, testing and more!
RESOURCE GUIDE
SUPPORT FOR PARTICIPANTS
Home
Staying Well While You Work
Looking for more help?
Covid-19 Resource Guide
Tax Resources
Employment Tips
Crisis Resources
Drug and Alcohol Use Concerns
Mental Health
Clothing
Food and Nutrition
Housing
Legal Services
Parenting + Child Support
More Services!
WELCOME TO CEO NYC!
Take a look around our site to learn about additional resources for you! We also have a form on our ""Contact us"" page where you can reach out to us and we can help connect you to resources. We hope this site is informative and can help enhance your well-being.
The Supportive Services department is committed to engaging and connecting you to resources that will improve your overall physical and mental wellness.
This site is maintained by the Supportive Services Department of the Center for Employment Opportunities. Questions and comments can be directed to any Supportive Services team member, or through our form.
Covid TestingVaccination FAQs and InformationGeneral ResourcesNon-Filers and Stimulus InformationCovid-Specific Food AssistanceUnemployment and DisabilityHousing During CovidResources for Parents
Covid Testing
Vaccination FAQs and Information
General Resources
Non-Filers and Stimulus Information
Covid-Specific Food Assistance
Unemployment and Disability
Housing During Covid
Resources for Parents
EducationTransportation AssistanceWomen's ServicesLGBTQ Services
Education
Transportation Assistance
Women's Services
LGBTQ Services
Support for Participants",False,,
community_resources,getting-your-record-expunged,,,.DS_Store,/Users/ligealocal/Desktop/J-Notebooks/PathwayPal ChatBot/scraped_data/community_resources/getting-your-record-expunged/.DS_Store,nan,False,,
